SecurityNo,Type,Amount,TorrensLot,TorrensPlan,TorrensTitleRef,RegisteredOwnerName,PropertyType,AddressID,VehicleYear,EngineNumber,VehicleType,VehicleMake,VehicleModel,VehicleModelType,State,DepositAccountNumber,DepositAccountType,OtherAssetType,OtherAssetDescription,Area,Zoning,PropertyPrimaryPurpose,InsuranceCategory,InsuredAmount,PremiumAmount,PolicyNumber,InsuranceCompanyName,InsuranceExpiryDate,AgeDescription,TitleOtherDescText,GaragedAddress,OwnersRegisteredAddress,ValuationSource,ValuationDate,PropertyRegistryDistrict,PriorityAmount
9013,RealEstate,500000,,,5344,Finn Laurens and Matilda Laurens,FULLY_DETACHED_HOUSE,43,,,,,,,,,,,,100,RESIDENTIAL,INVESTMENT,,,,,,,Established,,,,,,,
9014,RealEstate,500000,,,5344,Finn Laurens and Matilda Laurens,FULLY_DETACHED_HOUSE,44,,,,,,,,,,,,100,RESIDENTIAL,INVESTMENT,,,,,,,Established,,,,,,,
9015,RealEstate,500000,,,5344,Joe Wang,FULLY_DETACHED_HOUSE,45,,,,,,,,,,,,100,RESIDENTIAL,INVESTMENT,,,,,,,Established,,,,,,,
9016,RealEstate,600000,,,5344,Peter Young,FULLY_DETACHED_HOUSE,46,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
9017,RealEstate,500000,,,5344,Paul Row,FULLY_DETACHED_HOUSE,47,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
9018,RealEstate,500000,,,5344,Paul Row,FULLY_DETACHED_HOUSE,48,,,,,,,,,,,,100,RESIDENTIAL,INVESTMENT,,,,,,,Established,,,,,,,
9019,RealEstate,900000,,,2342/234,David Brunton and Mary Brunton,VILLA,49,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
9020,RealEstate,600000,,,5344,Gary Lu and Lucy Lu,FULLY_DETACHED_HOUSE,50,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
9021,RealEstate,500000,,,5344,Gary Lu and Lucy Lu,FULLY_DETACHED_HOUSE,51,,,,,,,,,,,,100,RESIDENTIAL,INVESTMENT,,,,,,,Established,,,,,,,
9022,RealEstate,600000,,,5344,Paul Row,FULLY_DETACHED_HOUSE,52,,,,,,,,,,,,100,RESIDENTIAL,INVESTMENT,,,,,,,Established,,,,,,,
9023,RealEstate,1700000,,,5344,Matilda Laurens and Paul Row,FULLY_DETACHED_HOUSE,53,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
5000,RealEstate,800000,,,9547/936,Arthur and Jenny Black,FULLY_DETACHED_HOUSE,54,,,,,,,,,,,,100,RESIDENTIAL,,,,,,,,Established,,,,,,,
5001,RealEstate,800000,,,5346,Peter and Mary White,FULLY_DETACHED_HOUSE,55,,,,,,,,,,,,100,RESIDENTIAL,INVESTMENT,,,,,,,Established,,,,,,,
5002,RealEstate,800000,,,5347,Richard Brown,FULLY_DETACHED_HOUSE,56,,,,,,,,,,,,100,RESIDENTIAL,INVESTMENT,,,,,,,Established,,,,,,,
5003,RealEstate,800000,,,5348,Richard Brown,FULLY_DETACHED_HOUSE,57,,,,,,,,,,,,100,RESIDENTIAL,INVESTMENT,,,,,,,Established,,,,,,,
5004,RealEstate,800000,,,5349,Richard Brown,FULLY_DETACHED_HOUSE,58,,,,,,,,,,,,100,RESIDENTIAL,INVESTMENT,,,,,,,Established,,,,,,,
9024,RealEstate,250000,937,30102,2512/771,Jesse Jane,FULLY_DETACHED_HOUSE,59,,,,,,,,,,,,100,RESIDENTIAL,INVESTMENT,,,,,,,Established,,,,,,,
9025,RealEstate,185000,,,51583/2,Mr Kimberley Laurence Curtis,FULLY_DETACHED_HOUSE,60,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
9026,RealEstate,225000,,,51583/3,Mr Kimberley Laurence Curtis,FULLY_DETACHED_HOUSE,61,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
9027,RealEstate,520000,,,51182/3,Mr David Mckinlay,FULLY_DETACHED_HOUSE,62,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
9028,RealEstate,225000,,,51583/3,Mr Kennedy Reynolds,COMMERCIAL,64,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
9029,RealEstate,225000,,,51584/4,Mr Kennedy Reynolds,COMPANY_TITLE,65,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
9030,RealEstate,225000,,,51585/5,Mr Kennedy Reynolds,DISPLAY_HOUSE,66,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
9031,RealEstate,225000,,,51586/6,Mr Kennedy Reynolds,DUPLEX,67,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
9032,RealEstate,225000,,,51587/7,Mr Kennedy Reynolds,EXISTING_STRATA_UNIT,68,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
9033,RealEstate,225000,,,51588/8,Mr Kennedy Reynolds,KIT_MOBILEHOME,69,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
9034,RealEstate,225000,,,51589/9,Mr Kennedy Reynolds,OTHER,70,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
9035,RealEstate,225000,,,51590/0,Mr Kennedy Reynolds,RELOCATABLE_HOME,71,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
9036,RealEstate,225000,,,51591/1,Mr Ben Thompson,SEMI_DETATCHED_HOUSE,72,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
9037,RealEstate,225000,,,51592/2,Mr Ben Thompson,SERVICED_APT,73,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
9038,RealEstate,225000,,,51593/3,Mr Ben Thompson,TERRACE,74,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
9039,RealEstate,225000,,,51594/4,Mr Ben Thompson,TIMESHARE,75,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
9040,RealEstate,225000,,,51595/5,Mr Ben Thompson,TOWNHOUSE,76,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
9041,RealEstate,225000,,,51596/6,Mr Ben Thompson,UNIT_STUDENT_ACCOM,77,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
9042,RealEstate,225000,,,51597/7,Mr Ben Thompson,VACANT_LAND,78,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
9043,RealEstate,225000,,,51598/8,Mr Ben Thompson,WAREHOUSE_CONVERSION,79,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
9044,RealEstate,810000,,,5344,John Smith and Mary Smith,FULLY_DETACHED_HOUSE,80,,,,,,,,,,,,100,RESIDENTIAL,INVESTMENT,,,,,,,Established,,,,,,,
9045,RealEstate,1000000,,,5344,Nancy Moon and Jamie Moon,FULLY_DETACHED_HOUSE,81,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
9046,RealEstate,1250000,,,5344,Andrews Starr and Melanie Starr,FULLY_DETACHED_HOUSE,82,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
9047,RealEstate,1200000,,,5344,Joe Wang,FULLY_DETACHED_HOUSE,83,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
9048,RealEstate,900000,,,5344,Josephine Chow and Jack Chow,FULLY_DETACHED_HOUSE,84,,,,,,,,,,,,100,RESIDENTIAL,INVESTMENT,,,,,,,Established,,,,,,,
9049,RealEstate,1200000,,,5344,Finn Laurens and Matilda Laurens,FULLY_DETACHED_HOUSE,85,,,,,,,,,,,,100,RESIDENTIAL,INVESTMENT,,,,,,,Established,,,,,,,
9050,RealEstate,500000,,,5344,Finn Laurens and Matilda Laurens,FULLY_DETACHED_HOUSE,86,,,,,,,,,,,,100,RESIDENTIAL,INVESTMENT,,,,,,,Established,,,,,,,
9051,RealEstate,500000,,,5344,Finn Laurens and Matilda Laurens,FULLY_DETACHED_HOUSE,87,,,,,,,,,,,,100,RESIDENTIAL,INVESTMENT,,,,,,,Established,,,,,,,
9052,RealEstate,500000,,,5344,Joe Wang,FULLY_DETACHED_HOUSE,88,,,,,,,,,,,,100,RESIDENTIAL,INVESTMENT,,,,,,,Established,,,,,,,
9053,RealEstate,600000,,,5344,Peter Young,FULLY_DETACHED_HOUSE,89,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
9054,RealEstate,900000,,,2342/234,David Brunton and Mary Brunton,VILLA,90,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
9055,RealEstate,600000,,,5344,Gary Lu and Lucy Lu,FULLY_DETACHED_HOUSE,91,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
9056,RealEstate,500000,,,5344,Gary Lu and Lucy Lu,FULLY_DETACHED_HOUSE,92,,,,,,,,,,,,100,RESIDENTIAL,INVESTMENT,,,,,,,Established,,,,,,,
9057,RealEstate,600000,,,5344,Paul Row,FULLY_DETACHED_HOUSE,93,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
9058,RealEstate,1700000,,,5344,Matilda Laurens and Paul Row,FULLY_DETACHED_HOUSE,94,,,,,,,,,,,,100,RESIDENTIAL,INVESTMENT,,,,,,,Established,,,,,,,
9059,RealEstate,1250000,,,5344,Andrews Starr and Melanie Starr,FULLY_DETACHED_HOUSE,95,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
9060,RealEstate,1250000,,,5344,Andrews Starr and Melanie Starr,FULLY_DETACHED_HOUSE,96,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
9061,RealEstate,1000000,,,5344,Nancy Moon and Jamie Moon,FULLY_DETACHED_HOUSE,97,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,,,,,,,,
9062,RealEstate,1000000,,,5344,Kylie Kay,FULLY_DETACHED_HOUSE,14,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,HH,50000,5000,123456,OTHER,TEXT-2030-08-21,Established,,,,,,,
9063,RealEstate,2100000,,,2232/771,Sherlock Holmes,FULLY_DETACHED_HOUSE,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9064,RealEstate,1100000,,,5344,Sherlock Holmes,FULLY_DETACHED_HOUSE,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9065,RealEstate,1100000,,,5344,Sherlock Holmes,FULLY_DETACHED_HOUSE,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9066,RealEstate,1100000,,,5344,Sherlock Holmes,FULLY_DETACHED_HOUSE,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9067,RealEstate,650000,,,5293/1,Harris Ferguson,COMMERCIAL,104,,,,,,,,,,,,1892,COMMERCIAL,INVESTMENT,,,,,,,Established,,,,,,,
9068,RealEstate,650000,,,5294/1,Wilson Fisk,RELOCATABLE_HOME,106,,,,,,,,,,,,1892,RURAL,INVESTMENT,,,,,,,Established,,,,,,,
9069,RealEstate,650000,,,5295/1,Wilson Fisk,,107,,,,,,,,,,,,1892,RURAL,INVESTMENT,,,,,,,Established,,,,,,,
9070,RealEstate,650000,,,5296/1,Wilson Fisk,RELOCATABLE_HOME,108,,,,,,,,,,,,1892,,INVESTMENT,,,,,,,Established,,,,,,,
9071,RealEstate,650000,,,5297/1,Wilson Fisk,VACANT_LAND,109,,,,,,,,,,,,1892,,INVESTMENT,,,,,,,Established,,,,,,,
9072,RealEstate,650000,,,5298/1,Wilson Fisk,,110,,,,,,,,,,,,1892,,INVESTMENT,,,,,,,Established,,,,,,,
9073,Vehicle,23000,,,,,,,2000,1FZ0433723,CSW,Toyota,LandCruiser GXL 4x4,,WA,,,,,,,,COMPREHENSIVE_INSURANCE,23000,400,100001,NRMA,TEXT-2030-08-20,,,,,,,,
9074,Vehicle,8000,,,,,,,2000,1FZ0433724,CS,Toyota,Corolla,,WA,,,,,,,,COVER_NOTE,8000,50,100002,SST,TEXT-2030-08-20,,,113,113,,,,
9075,Vehicle,28100,,,,,,,2013,REG9075,CSW,AUDI,A6,,WA,,,,,,,,,,,,,,,,,,,,,
9076,Vehicle,1700000,,,,,,,2021,REG9076,BT,MERCEDES-BENZ,ARROW460,,NSW,,,,,,,,,,,,,,,,,,,,,
9077,Vehicle,91750,,,,,,,2021,REG9077,DCA,JB CARAVANS,GATOR,,NSW,,,,,,,,,,,,,,,,,,,,,
9078,Vehicle,14490,,,,,,,2021,REG9078,SOL,SUZUKI,V-STORM,,NSW,,,,,,,,,,,,,,,,,,,,,
9079,Vehicle,99400,,,,,,,2015,REG9079,CS,MASERATI,QUATTROPORTE,,NSW,,,,,,,,,,,,,,,,,,,,,
9080,Vehicle,6500,,,,,,,2012,REG9080,T,KIA,CERES,,NSW,,,,,,,,,,,,,,,,,,,,,
9081,Vehicle,15800,,,,,,,2017,REG9081,U,FORD,FALCON,,NSW,,,,,,,,,,,,,,,,,,,,,
9082,Vehicle,34300,,,,,,,2020,REG9082,VAN,VOLKSWAGEN,TRANSPORTER,,NSW,,,,,,,,,,,,,,,,,,,,,
9083,Vehicle,10600,,,,,,,2013,REG9083,WAGON,SUBARU,FORESTER,,NSW,,,,,,,,,,,,,,,,,,,,,
9084,Vehicle,23000,,,,John Espiritu,,,2000,1FZ0433723,CSW,Toyota,LandCruiser GXL 4x4,,WA,,,,,,,,COMPREHENSIVE_INSURANCE,23000,400,100001,NRMA,TEXT-2030-08-20,,,,,,,,
9085,Vehicle,23000,,,,John Espiritu and Nadine Lustre and James Reid,,,2000,1FZ0433723,CSW,Toyota,LandCruiser GXL 4x4,,WA,,,,,,,,COMPREHENSIVE_INSURANCE,23000,400,100001,NRMA,TEXT-2030-08-20,,,,,,,,
9086,Other,35000,,,,,,,,,,,,,,,,OTHER,cash,,,,,,,,,,,,,,,,,
9087,Other,25000,,,,,,,,,,,,,,,,SHARES,,,,,,,,,,,,,,,,,,
9088,RealEstate,250000,936,30101,2511/771,Chito Miranda,FULLY_DETACHED_HOUSE,111,,,,,,,,,,,,100,RESIDENTIAL,INVESTMENT,,,,,,,Established,2511/771,,,,,,
9100,RealEstate,1500000,,,142673/213,Black Pty Ltd,COMMERCIAL,129,,,,,,,,,,,,400,COMMERCIAL,OWNER_OCCUPIED,,,,,,,Established,142673/213,,,,,,
9101,RealEstate,2000000,,,335783/23,John Peter Fox,FULLY_DETACHED_HOUSE,131,,,,,,,,,,,,600,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,335783/23,,,,,,
9102,RealEstate,800000,,,3897/221,White Pty Ltd,COMMERCIAL,130,,,,,,,,,,,,300,COMMERCIAL,OWNER_OCCUPIED,,,,,,,Established,3897/221,,,,,,
9103,RealEstate,1100000,15,43478,43478/15,"John Peter Fox, Jane Fox, James Fox",EXISTING_STRATA_UNIT,134,,,,,,,,,,,,150,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,43478/15,,,,,,
9104,RealEstate,1400000,,,66736/227,Frank Fox,FULLY_DETACHED_HOUSE,133,,,,,,,,,,,,500,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,66736/227,,,,,,16000
9105,RealEstate,60000,,,CT:1111-111,Emma Jane,FULLY_DETACHED_HOUSE,136,,,,,,,,,,,,500,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,62748/315,,,,,,
9106,RealEstate,500000,,,2222:222,Emma Jane,FULLY_DETACHED_HOUSE,137,,,,,,,,,,,,400,RESIDENTIAL,INVESTMENT,,,,,,,Established,15698/298,,,,,,
9107,RealEstate,500000,,,123/123,Emma Jane,FULLY_DETACHED_HOUSE,138,,,,,,,,,,,,400,RESIDENTIAL,INVESTMENT,,,,,,,Established,15745/178,,,,,,
9108,RealEstate,250000,777,795550,2345/432,Tom Tan,FULLY_DETACHED_HOUSE,143,,,,,,,,,,,,600,RESIDENTIAL,INVESTMENT,,,,,,,Established,,,,,,NorthAuckland,
9109,RealEstate,800000,888,795551,2346/431,Abby and Jack White,FULLY_DETACHED_HOUSE,144,,,,,,,,,,,,100,RESIDENTIAL,,,,,,,,Established,,,,,,Canterbury,
9110,RealEstate,800000,999,795552,2347/430,Abby and Jack White,FULLY_DETACHED_HOUSE,145,,,,,,,,,,,,100,RESIDENTIAL,INVESTMENT,,,,,,,Established,,,,,,Canterbury,
9111,RealEstate,800000,998,795553,,Abby and Jack White,FULLY_DETACHED_HOUSE,145,,,,,,,,,,,,100,RESIDENTIAL,INVESTMENT,,,,,,,Established,,,,,,Canterbury,
9112,RealEstate,1000000,,,5344,Luke Spring,FULLY_DETACHED_HOUSE,509,,,,,,,,,,,,100,RESIDENTIAL,INVESTMENT,,,,,,,Established,,,,,,,
5555,RealEstate,100000,122111,1122,888-112,Jimmy Fox,FULLY_DETACHED_HOUSE,500,,,,,,,,,,,,100,RESIDENTIAL,,,,,,,,,,,,,1/01/2025,,
5556,RealEstate,200000,1122,12122,11222,Jimmy Fox,FULLY_DETACHED_HOUSE,501,,,,,,,,,,,,100,RESIDENTIAL,,,,,,,,,,,,,1/01/2025,,12000
5557,RealEstate,200000,111,22222,111-333,Earl Grey,FULLY_DETACHED_HOUSE,502,,,,,,,,,,,,150,RESIDENTIAL,,,,,,,,,,,,,,,
5558,RealEstate,450000,222,33333,111-222,Jasmine Lavender,FULLY_DETACHED_HOUSE,503,,,,,,,,,,,,200,RESIDENTIAL,,,,,,,,,,,,,,,
5559,RealEstate,310000,333,44444,222-333,Sasha Cohen,FULLY_DETACHED_HOUSE,504,,,,,,,,,,,,280,RESIDENTIAL,,,,,,,,,,,,,,,
5560,RealEstate,415000,444,123456,444-333,Ash Wednesday,FULLY_DETACHED_HOUSE,505,,,,,,,,,,,,280,RESIDENTIAL,,,,,,,,,,,,,,,
5561,RealEstate,415000,444,123456,444-333,Eliana Arkyn Aarav,FULLY_DETACHED_HOUSE,512,,,,,,,,,,,,280,RESIDENTIAL,,,,,,,,,,,,,,,
5562,RealEstate,415000,444,123456,444-333,Sue Arrav,FULLY_DETACHED_HOUSE,510,,,,,,,,,,,,280,RESIDENTIAL,,,,,,,,,,,,,,,
5563,RealEstate,415000,444,123456,444-333,Maria Arrav,FULLY_DETACHED_HOUSE,511,,,,,,,,,,,,280,RESIDENTIAL,,,,,,,,,,,,,,,
5564,RealEstate,975000,5560,34551,57/8492,Standard Owner,VILLA,513,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
5565,RealEstate,650000,123,456,57/8492,DP Pharmaceuticals NZ,FULLY_DETACHED_HOUSE,515,,,,,,,,,,,,150,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
5566,RealEstate,650000,123,456,57/8492,Live Well NZ,FULLY_DETACHED_HOUSE,518,,,,,,,,,,,,120,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
5666,RealEstate,800000,666,777,66/7777,WONDERLAND PTY LTD,FULLY_DETACHED_HOUSE,555,,,,,,,,,,,,333,RESIDENTIAL,INVESTMENT,BUILDING,800000,,POL2342342,AAMI,TEXT-2031-08-20,Established,,,,,,,
