AccountNumber,CustomerNumber,Role
600000041,11887726,Borrower
600000042,11887727,Borrower
600000043,11887727,Borrower
600000044,11887755,Borrower
600000044,11887756,Borrower
600000045,11887765,Borrower
600000045,11887766,Borrower
600000046,11887765,Borrower
600000046,11887766,Borrower
120000006,18121140,Borrower
600000047,500008,Borrower
600000047,500009,Borrower
600000048,500008,Borrower
600000048,500009,Borrower
600000049,500017,Borrower
600000050,500017,Borrower
600000051,500017,Borrower
600000052,500018,Borrower
600000053,500018,Borrower
600000054,500018,Borrower
600000052,500019,Borrower
600000053,500019,Borrower
600000054,500019,Borrower
989891045,500010,Borrower
989891046,987003,Borrower
989891047,987003,Borrower
989891048,500012,Borrower
989891049,500012,Borrower
989891050,500013,Borrower
989891051,500014,Borrower
989891052,18121200,Borrower
989891053,18121200,Borrower
989891054,18121200,Borrower
989891055,18121200,Borrower
989891056,18121201,Borrower
989891057,500015,Borrower
989891058,500015,Borrower
989891059,500016,Borrower
989891060,11990003,Borrower
989891060,11990004,Borrower
989891061,11990002,Borrower
989891062,11990002,Borrower
989891063,11990005,Borrower
989891064,11990016,Borrower
989891065,11990016,Borrower
989891070,11990016,Borrower
989891071,11990016,Borrower
989891072,11990016,Borrower
989891073,11990016,Borrower
989891066,11990017,Borrower
989891067,11990017,Borrower
989891070,11990017,Borrower
989891071,11990017,Borrower
989891068,11990018,Borrower
989891069,11990018,Borrower
989891072,11990018,Borrower
989891073,11990018,Borrower
989891074,11990019,Borrower
294837233,121212,Borrower
5645666654,121212,Borrower
TEXT-2323424244242315,121212,Borrower
669964598,589833,Borrower
546546468,746513,Borrower
846155218,121213,Borrower
669964599,789132,Borrower
225568167,589833,Borrower
225568167,665656,Borrower
225568167,545465,Borrower
225477825,545423,Borrower
555551,335436,Borrower
555552,335436,Borrower
555553,335436,Borrower
9860451,986045,Borrower
954319001,986100,Borrower
954319002,986101,Borrower
954319003,986102,Borrower
954319004,986103,Borrower
159753465,986104,Borrower
788963312,986105,Borrower
500516613,986106,Borrower
100121222,984232,Borrower
200121333,984233,Borrower
999999900,990000,Borrower
999999901,990021,Borrower
999999902,990022,Borrower
999999903,990023,Borrower
999999904,990024,Borrower
999999905,990025,Borrower
999999906,990026,Borrower
999999906,990027,Borrower
999999907,900000,Borrower
999999908,900001,Borrower
999999906,900002,Borrower
999999910,5000024,Borrower
999999911,5000030,Borrower
999999912,5000031,Borrower
999999920,4528479,Borrower
999999920,4747858,Guarantor
999999920,4934176,Guarantor
