AccountNumber,AccountType,ProductCode,OriginalAmount,CurrentAmount,InterestRate,RepaymentAmount,NumberOfRepayments,OriginalTerm,RemainingTerm,PaymentMethod,Period,UndrawnAmount,AdvanceAmount,LinkedSavingsAccountNumber,LmiPolicyNumber,InsurerName,RolloverProductCode,RolloverInterestRate,AdditionalRepayment1RemainingTerm,AdditionalRepayment1PaymentMethod,AdditionalRepayment2RemainingTerm,AdditionalRepayment2PaymentMethod,CalculateMaturityDate,CurrentArrears,PreviousArrears,LenderName,AdditionalRepayment,CompletedIOTermValue,CompletedIOTermUnits,BSB,AccountName,Description,LoanDetailsMaturityDate
254317818,SAVINGS,,6050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674676912,SAVINGS,,9876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989001212,PROPERTY,HL003,638233.45,40000,6,2871.92,30,40,10,PrincipalAndInterest,Monthly,80000,0,,,,,,,,,,,,,,,,,,,,
989001213,PERSONAL_LOAN,PL003,23679.65,6500,8.78,345.83,22,36,13,PrincipalAndInterest,Fortnightly,0,0,,,,,,,,,,,,,,,,,,,,
989001214,CREDIT_CARD,CC001,10000,6500,12.5,,,,,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,,,,,,,,,,
989001215,OVERDRAFT,OD001,4000,750,7.87,,,,,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,,,,,,,,,,
1521266,SAVINGS,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240069958,SAVINGS,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694678,SAVINGS,,3392.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238002000,PROPERTY,HL006,100000,30000,6,1110.21,27,120,28,PrincipalAndInterest,Monthly,80000,0,1694678,,,,,,,,,,,,,,,,,,,
238000792,PERSONAL_LOAN,PL003,5000,2082.22,6.09,61.07,74,42,35,PrincipalAndInterest,Fortnightly,0,0,240069958,,,,,,,,,,,,,,,,,,,
239022080,PERSONAL_LOAN,PL003,23679.65,7500,8.78,345.83,21,36,11,PrincipalAndInterest,Fortnightly,0,0,,,,,,,,,,,,,,,,,,,,
238002001,PROPERTY,HL006,21977.41,7600,8.78,280.92,26,42,13,PrincipalAndInterest,Fortnightly,0,0,,,,,,,,,,,,,,,,,,,,
238014112,CREDIT_CARD,CC001,10000,7800,8.78,,,,,PrincipalAndInterest,Fortnightly,0,0,,,,,,,,,,,,,,,,,,,,
60085082,PROPERTY,HL001,296298.5,141230.28,6.4,1384.26,252,361,252,PrincipalAndInterest,Monthly,0,50037.61,,,,,,,,,,,,,,,,,,,,
60024610,SAVINGS,,6111.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30092548,PROPERTY,HL001,47768.41,0,6.77,325.82,312,312,312,PrincipalAndInterest,Monthly,47768.41,0,,,,,,,,,,,,,,,,,,,,
30092545,PERSONAL_LOAN,PL003,10212,212,9.49,166.86,84,84,84,PrincipalAndInterest,Monthly,10000,0,,,,,,,,,,,,,,,,,,,,
30092542,SAVINGS,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30092419,PERSONAL_LOAN,PL003,10012,12,7.99,244.38,48,48,48,PrincipalAndInterest,Monthly,10000,0,,,,,,,,,,,,,,,,,,,,
30092123,PROPERTY,HL001,197064.9,1064.9,4.28,1223.45,240,240,240,PrincipalAndInterest,Monthly,196000,0,,,,,,,,,,,,,,,,,,,,
30092077,PERSONAL_LOAN,PL003,10212,212,7.99,207.02,60,60,60,PrincipalAndInterest,Monthly,10000,0,,,,,,,,,,,,,,,,,,,,
30091938,PERSONAL_LOAN,PL003,10212,212,7.99,159.12,84,84,84,PrincipalAndInterest,Monthly,10000,0,,,,,,,,,,,,,,,,,,,,
30091936,SAVINGS,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12145218,SAVINGS,,6617.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989891018,PROPERTY,HL006,500000,325326,3.88,1657.16,360,360,312,PrincipalAndInterest,Monthly,0,8000,,,,,,,,,,TRUE,,,,100,60,Months,,,,
989891019,PROPERTY,HL008,400000,200000,3.75,863.71,130,130,130,PrincipalAndInterest,Fortnightly,0,0,,,,HL006,3.88,104,PrincipalAndInterest,,,TRUE,,,,200,2,Years,,,,
989891021,SAVINGS,,1371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989891022,CREDIT_CARD,CC001,10000,321,12.5,,,,,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,,,,,,,,,,
989891023,TERM_DEPOSIT,,200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989891024,PROPERTY,HL001,600000,475560,3.88,2762.12,360,360,252,PrincipalAndInterest,Monthly,0,8000,,,,,,,,,,TRUE,,,,0,0,Months,,,,
989891025,PROPERTY,HL001,609774,550450,3.88,2869.13,360,360,300,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,TRUE,,,,0,0,Months,,,,
989891026,PROPERTY,HL004,250000,250000,3.75,1285.33,300,300,300,PrincipalAndInterest,Monthly,0,0,,,,HL001,3.88,276,PrincipalAndInterest,,,TRUE,,,,0,0,Months,,,,
989891027,PROPERTY,HL001,800000,758000,3.88,3950.95,360,360,300,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,TRUE,,,,0,0,Months,,,,
989891028,PROPERTY,HL001,800000,758000,3.88,1822.58,360,360,300,PrincipalAndInterest,Fortnightly,0,0,,,,,,,,,,TRUE,,,,0,0,Months,,,,
989891029,PROPERTY,HL007,800000,475560,4.74,1878.46,300,300,300,InterestOnly,Monthly,0,0,,,,HL006,4.28,276,PrincipalAndInterest,,,TRUE,,,,0,0,Months,,,,
989891030,PROPERTY,HL009,800000,200000,4.74,790,300,300,300,InterestOnly,Monthly,0,0,,,,HL006,4.28,276,PrincipalAndInterest,,,TRUE,,,,0,0,Months,,,,
989891031,PROPERTY,HL006,800000,475560,4.28,2584.28,300,300,300,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,TRUE,,,,0,0,Months,,,,
989891032,PROPERTY,HL009,200000,200000,4.74,790,300,300,300,InterestOnly,Monthly,0,0,,,,HL006,4.28,12,InterestOnly,276,PrincipalAndInterest,TRUE,,,,0,0,Months,,,,
989891033,PROPERTY,HL009,200000,200000,4.74,790,300,300,300,InterestOnly,Monthly,0,0,,,,HL006,4.28,12,PrincipalAndInterest,276,PrincipalAndInterest,TRUE,,,,0,0,Months,,,,
989891034,PROPERTY,HL006,300000,278900,4.28,1731.51,300,300,240,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,TRUE,,,,0,0,Months,,,,
989891035,PROPERTY,HL003,436000,436000,4.15,1507.83,360,360,360,InterestOnly,Monthly,0,0,,,,HL001,3.88,336,PrincipalAndInterest,,,TRUE,,,,0,0,Months,,,,
989891036,PROPERTY,HL004,225000,225000,3.75,1185.99,288,288,288,PrincipalAndInterest,Monthly,0,0,,,,HL001,3.88,252,PrincipalAndInterest,,,TRUE,,,,0,0,Months,,,,
989891037,PROPERTY,HL008,230000,230000,4.19,1238.28,300,300,300,PrincipalAndInterest,Monthly,0,0,,,,HL006,4.28,276,PrincipalAndInterest,,,TRUE,,,,0,0,Months,,,,
989891038,PROPERTY,HL004,700456,700456,3.75,3601.26,300,300,300,PrincipalAndInterest,Monthly,0,0,,,,HL001,3.88,252,PrincipalAndInterest,,,TRUE,,,,0,0,Months,,,,
989891039,PROPERTY,HL003,425000,425000,4.15,1469.79,336,336,336,InterestOnly,Monthly,0,0,,,,HL001,3.88,300,PrincipalAndInterest,,,TRUE,,,,0,0,Months,,,,
989891040,PROPERTY,HL006,162840,162840,4.28,1010.97,240,240,240,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,TRUE,,,,0,0,Months,,,,
989891041,PROPERTY,HL010,500000,325326,3.88,1657.16,360,360,312,PrincipalAndInterest,Monthly,0,8000,,,,,,,,,,TRUE,,,,0,0,Months,,,,
989891042,PROPERTY,HL011,400000,200000,3.75,863.71,130,130,130,PrincipalAndInterest,Fortnightly,0,0,,,,HL010,3.88,104,PrincipalAndInterest,,,TRUE,,,,0,0,Months,,,,
989891043,PROPERTY,HL008,500000,230000,4.19,1296.95,300,300,277,PrincipalAndInterest,Monthly,0,0,,,,HL006,4.28,276,PrincipalAndInterest,,,TRUE,,,,0,0,Months,,,,
989891044,PROPERTY,HL004,1000000,700456,3.75,4009.91,276,276,253,PrincipalAndInterest,Monthly,0,0,,,,HL001,3.88,252,PrincipalAndInterest,,,TRUE,,,,,,,,,,
600000000,PROPERTY,HL006,200000,200000,3.5,898,360,360,360,PrincipalAndInterest,Monthly,0,0,,,,,,100,PrincipalAndInterest,,,TRUE,,,,,,,,,,
600000001,PROPERTY,HL006,200000,200000,3.5,898,360,360,360,PrincipalAndInterest,Monthly,0,0,,,,,,100,PrincipalAndInterest,,,TRUE,,,,,,,,,,
600000002,PROPERTY,HL006,200000,200000,3.5,898,360,360,360,PrincipalAndInterest,Monthly,0,0,,,,,,100,PrincipalAndInterest,,,TRUE,,,ANZ,,,,,,,
600000003,PROPERTY,HL011,200000,200000,3.5,898,360,360,360,InterestOnly,Monthly,0,0,,,,,,100,PrincipalAndInterest,,,TRUE,,,,,,,,,,
600000004,PROPERTY,HL010,200000,200000,3.5,898,360,360,360,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,TRUE,,,,,,,,,,
600000005,PROPERTY,HL004,1000000,700456,3.75,4009.91,276,276,253,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,,,,,,,,,,
600000006,PROPERTY,HL001,300000,253560,3.88,1495.82,360,360,230,PrincipalAndInterest,Monthly,0,81000,,,,,,,,,,TRUE,,,,0,0,Months,,,,
600000007,PROPERTY,HL004,1000000,700456,3.75,4009.91,276,276,253,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,,,,,,,,,,
600000008,PROPERTY,HL004,1000000,700456,3.75,4009.91,276,276,253,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,,,,,,,,,,
600000009,PROPERTY,HL004,1000000,700456,3.75,4009.91,276,276,253,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,,,,,,,,,,
600000010,PROPERTY,HL004,1000000,700456,3.75,4009.91,276,276,253,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,,,,,,,,,,
600000011,PROPERTY,HL004,1000000,700456,3.75,4009.91,276,276,253,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,,,,,,,,,,
600000012,PROPERTY,HL004,1000000,700456,3.75,4009.91,276,276,253,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,,,,,,,,,,
600000013,PROPERTY,HL004,1000000,700456,3.75,4009.91,276,276,253,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,,,,,,,,,,
600000014,PROPERTY,HL004,1000000,700456,3.75,4009.91,276,276,253,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,,,,,,,,,,
600000015,PROPERTY,HL004,1000000,700456,3.75,4009.91,276,276,253,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,,,,,,,,,,
600000016,PROPERTY,HL004,1000000,700456,3.75,4009.91,276,276,253,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,,,,,,,,,,
600000017,PROPERTY,HL004,1000000,700456,3.75,4009.91,276,276,253,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,,,,,,,,,,
600000018,PROPERTY,HL004,1000000,700456,3.75,4009.91,276,276,253,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,,,,,,,,,,
600000019,PROPERTY,HL004,1000000,700456,3.75,4009.91,276,276,253,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,,,,,,,,,,
600000020,PROPERTY,HL004,1000000,700456,3.75,4009.91,276,276,253,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,,,,,,,,,,
600000021,PROPERTY,HL004,1000000,700456,3.75,4009.91,276,276,253,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,,,,,,,,,,
600000022,PROPERTY,HL004,1000000,700456,3.75,4009.91,276,276,253,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,,,,,,,,,,
600000023,PROPERTY,HL001,600000,475560,3.88,2762.12,360,360,252,PrincipalAndInterest,Monthly,0,8000,,,,,,,,,,TRUE,,,,0,0,Months,,,,
600000024,PROPERTY,HL006,500000,325326,3.88,1657.16,360,360,312,PrincipalAndInterest,Monthly,0,8000,,,,,,,,,,TRUE,,,,100,60,Months,,,,
600000025,PROPERTY,HL008,400000,200000,3.75,863.71,130,130,130,PrincipalAndInterest,Fortnightly,0,0,,,,HL006,3.88,104,PrincipalAndInterest,,,TRUE,,,,200,2,Years,,,,
600000026,SAVINGS,,1371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600000027,CREDIT_CARD,CC001,10000,321,12.5,,,,,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,,,,,,,,,,
600000028,TERM_DEPOSIT,,200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600000029,PROPERTY,HL001,609774,550450,3.88,2869.13,360,360,300,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,TRUE,,,,0,0,Months,,,,
600000030,PROPERTY,HL001,609774,550450,3.88,2869.13,360,360,300,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,TRUE,,,,0,0,Months,,,,
600000031,PROPERTY,HL004,250000,250000,3.75,1285.33,300,300,300,PrincipalAndInterest,Monthly,0,0,,,,HL001,3.88,276,PrincipalAndInterest,,,TRUE,,,,0,0,Months,,,,
600000032,PROPERTY,HL001,600000,475560,3.88,2762.12,360,360,252,PrincipalAndInterest,Monthly,0,8000,,,,,,,,,,TRUE,,,,0,0,Months,,,,
600000033,PROPERTY,HL001,800000,758000,3.88,3950.95,360,360,300,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,TRUE,,,,0,0,Months,,,,
600000034,PROPERTY,HL006,300000,278900,4.28,1731.51,300,300,240,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,TRUE,,,,0,0,Months,,,,
600000036,PROPERTY,HL007,800000,475560,4.74,1878.46,300,300,300,InterestOnly,Monthly,0,0,,,,HL006,4.28,276,PrincipalAndInterest,,,TRUE,,,,0,0,Months,,,,
600000037,PROPERTY,HL009,800000,200000,4.74,790,300,300,300,InterestOnly,Monthly,0,0,,,,HL006,4.28,276,PrincipalAndInterest,,,TRUE,,,,0,0,Months,,,,
600000038,PROPERTY,HL006,800000,475560,4.28,2584.28,300,300,300,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,TRUE,,,,0,0,Months,,,,
600000039,PROPERTY,HL009,200000,200000,4.74,790,300,300,300,InterestOnly,Monthly,0,0,,,,HL006,4.28,12,InterestOnly,276,PrincipalAndInterest,TRUE,,,,0,0,Months,,,,
600000040,PROPERTY,HL009,200000,200000,4.74,790,300,300,300,InterestOnly,Monthly,0,0,,,,HL006,4.28,12,PrincipalAndInterest,276,PrincipalAndInterest,TRUE,,,,0,0,Months,,,,
600000041,PROPERTY,HL003,436000,436000,4.15,1507.83,360,360,360,InterestOnly,Monthly,0,0,,,,HL001,3.88,336,PrincipalAndInterest,,,TRUE,,,,0,0,Months,,,,
600000042,PROPERTY,HL004,1000000,700456,3.75,4009.91,276,276,253,PrincipalAndInterest,Monthly,0,0,,,,HL001,3.88,252,PrincipalAndInterest,,,TRUE,,,,,,,,,,
600000043,PROPERTY,HL008,500000,230000,4.19,1296.95,300,300,277,PrincipalAndInterest,Monthly,0,0,,,,HL006,4.28,276,PrincipalAndInterest,,,TRUE,,,,0,0,Months,,,,
600000044,PROPERTY,HL004,700456,700456,3.75,3601.26,300,300,300,PrincipalAndInterest,Monthly,0,0,,,,HL001,3.88,252,PrincipalAndInterest,,,TRUE,,,,0,0,Months,,,,
600000045,PROPERTY,HL003,425000,425000,4.15,1469.79,336,336,336,InterestOnly,Monthly,0,0,,,,HL001,3.88,300,PrincipalAndInterest,,,TRUE,,,,0,0,Months,,,,
600000046,PROPERTY,HL006,162840,162840,4.28,1010.97,240,240,240,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,TRUE,,,,0,0,Months,,,,
120000006,SAVINGS,,68617.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600000047,SAVINGS,,500000.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600000048,LINE_OF_CREDIT,OD001,50000,500,12.99,,,,,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,MARGINAL,Yes,,,,,,,,
600000049,BUSINESS_TERM_DEPOSIT,,200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600000050,BUSINESS_TRANSACTIONAL,,200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600000051,BUSINESS_STANDARD_DEPOSIT,,60000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600000052,BUSINESS_TERM_DEPOSIT,,250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600000053,BUSINESS_TRANSACTIONAL,,250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600000054,BUSINESS_STANDARD_DEPOSIT,,65000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989891045,PROPERTY,HL001,426000,300000,3.79,1110.21,120,240,150,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,,,,,,,,,,
989891046,SAVINGS,,12526.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989891047,PROPERTY,HL001,2100000,500000,3.79,3329,200,200,36,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,TRUE,,,,,,,,,,
989891048,OTHER,HL001,12345,5000,3,120,84,84,60,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,,,,,,,,,,
989891049,OVERDRAFT,OD001,500000,300000,6.09,,,,,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,,,,,,,,,,
989891050,OVERDRAFT,OD001,500000,300000,6.09,,,,,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,,,,,,,,,,
989891051,OTHER,HL001,12345,5000,3,120,84,84,60,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,,,,,,,,,,
989891052,BUSINESS_LENDING,CST001,240000,120000,5,1734,40,60,40,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,,,,,,,,,,
989891053,BUSINESS_LENDING,CUT001,50000,23000,6.07,983,33,48,33,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,,,,,,,,,Hire purchase,
989891054,BUSINESS_LENDING,CLOC001,150000,94342,5.34,,,,,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,,,,,,,,,Line of credit,
989891055,BUSINESS_LENDING,COD001,4000,938,5,,,,,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,,,,,,,,,Overdraft,
989891056,BUSINESS_LENDING,CST001,240000,120000,5,1734,40,60,40,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,,,,,,,,,,
